
200	0.46	40	4.497	0.076	3	2.84	3	5.455	0.093	1
200	0.7	50	1.349	0.024	3	3.31	3	4.148	0.075	1
200	0.97	60	4.649	0.084	4	3.52	3	3.107	0.056	1
200	1.25	70	1.822	0.035	4	3.54	3	2.387	0.045	1
200	1.55	80	7.45	0.134	5	3.43	3	1.778	0.034	1
200	1.84	90	3.387	0.058	5	3.26	3	1.4	0.024	1
200	2.13	100	1.633	0.031	5	3.06	3	1.127	0.022	1
200	2.39	110	8.141	0.163	6	2.87	3	9.145	0.201	2
200	2.63	120	4.344	0.096	6	2.7	3	7.852	0.204	2
200	2.85	130	2.301	0.046	6	2.55	3	6.633	0.192	2									
300	0.6	30	5.546	0.083	3	3.16	3	4.698	0.071	1
300	0.81	35	2.348	0.04	3	3.43	3	3.743	0.064	1
300	1.04	40	1.067	0.016	3	3.54	3	2.954	0.044	1
300	1.55	50	2.634	0.04	4	3.43	3	1.858	0.028	1
300	2.13	60	7.408	0.111	5	3.06	3	1.14	0.017	1
300	2.74	70	2.4	0.041	5	2.62	3	7.249	0.012	2
300	3.36	80	8.802	0.15	6	2.21	3	4.844	0.087	2
300	3.96	90	3.417	0.058	6	1.85	3	3.233	0.061	2
300	4.54	100	1.466	0.264	6	1.56	3	2.282	0.05	2
500	2.21	35	2.457	0.037	4	3	3	1.109	0.017	1
500	2.82	40	8.914	0.134	5	2.57	3	7.014	0.105	2
500	3.48	45	3.47	0.063	5	2.13	3	4.478	0.067	2
500	4.17	50	1.425	0.021	5	1.74	3	2.874	0.043	2
500	4.9	55	6.129	0.092	6	1.4	3	1.856	0.028	2
500	5.65	60	2.83	0.043	6	1.12	3	1.247	0.019	2
500	6.4	65	1.353	0.024	6	8.96	4	8.421	0.16	3
500	7.16	70	6.695	0.1	7	7.18	4	5.743	0.093	3
500	7.92	75	3.394	0.054	7	5.77	4	4.169	0.067	3
500	8.67	80	2.041	0.043	7	4.67	4	3.151	0.082	3
500	9.4	85	1.164	0.027	7	3.8	4	2.343	0.07	3
650	3.68	35	5.088	0.087	5	2.01	3	3.928	0.067	2
650	4.68	40	1.537	0.023	5	1.49	3	2.072	0.031	2
650	5.76	45	5.261	0.079	6	1.09	3	1.164	0.018	2
650	6.31	47.5	3.2	0.058	6	9.21	4	8.904	0.169	3
650	6.88	50	1.946	0.029	6	7.8	4	6.73	0.101	3
650	7.46	52.5	1.182	0.018	6	6.59	4	5.028	0.075	3
650	8.04	55	7.627	0.114	7	5.57	4	3.958	0.059	3
650	9.22	60	3.206	0.064	7	3.99	4	2.413	0.051	3
650	10.41	65	1.469	0.029	7	2.87	4	1.562	0.036	3
650	11.6	70	7.085	0.163	8	2.08	4	1.038	0.029	3
650	13.91	80	2.039	0.055	8	1.13	4	5.403	0.184	4
650	16.08	90	7.574	0.258	9	6.43	5	3.499	0.157	4
650	18.06	100	3.029	0.117	9	3.88	5	2.335	0.199	4
