100 	90	    0.5		2.65   0.15		30	0.796	0.024
103	    90	    0.53	2.36   0.14		30	0.788	0.024
150	    56	    0.5		9.20   0.55		30	0.796	0.024
150	    84.1	1		9.80   0.59		31	0.633	0.019
200		41.1	0.5		1.845  0.11		29	0.792	0.024
200		60   	1		2.32   0.14		30	0.619	0.019
200		76.1	1.5		5.18   0.31		31	0.492	0.015
250		47  	1		4.23   0.25		30	0.626	0.019
250		58.8	1.5		1.032  0.012	30	0.496	0.015
250		69.5	2		3.10   0.19		31	0.391	0.012
250		89.8	3		4.10   0.25		32	0.256	0.008
300		48.2	1.5		1.635  0.098	30	0.493	0.015
300		56.5	2		5.27   0.32		31	0.391	0.012
300		86  	4		1.32   0.08		32	0.1577	0.050
350		59.9	3		1.25   0.08		31	0.253	0.008
350		81.9	5		4.73   0.30		33	0.0988	0.003
400		41.4	2		1.077  0.067	30	0.390	0.012
400		60.9	4		3.53   0.22		32	0.160	0.005
400		78	    6		1.810  0.17		33	0.0628	0.003
500		40.6	3		3.17   0.19		31	0.255	0.008
500		53.9	5		1.41   0.09		32	0.0976	0.003
500		59.9	6		3.11   0.32		33	0.0576	0.003
500		65.9	7		6.97   0.96		34	0.0335	0.0023
500		71.3	8		1.53   0.18		34	0.0189	0.0011
601		39.1	4		9.76   0.62		32	0.1577	0.005
601		57.7	8		2.58   0.49		34	0.0182	0.0017
650		40.5	5		2.51   0.16		32	0.0932	0.003
650		48.8	7		1.45   0.12		33	0.0332	0.0014
650		52.7	8		1.95   0.64		34	0.0143	0.0024
700		41.4	6		7.70   0.80		33	0.0582	0.003
700		48.5	8		4.56   0.77		34	0.0195	0.0018
800		39	    7		2.01   0.19		33	0.0301	0.0014
800		42.2	8.1		4.87   0.59		34	0.0175	0.0011
800		43.4	8.5		1.95   0.37		34	0.0118	0.0011
800		44.8	9		5.79   2.55		35	0.0069	0.0015
800		46.2	9.5		3.35   1.28		35	0.0055	0.0011
800		47.6	10		9.2    7.9		36	0.0031	0.0019
800		48.9	10.5	4.6    5.9		36	0.0023	0.0023
800		50.2	11		1.43   0.49		35	0.0043	0.0007
800		52.9	12		3.75   1.6		35	0.0078	0.0011
800		56.7	13.5	3.96   0.66		35	0.0094	0.0008
800		60.4	15		2.68   0.66		35	0.0089	0.0011
800		62.8	16		2.76   0.43		35	0.0098	0.0008
800		67.8	18		1.35   0.27		35	0.0082	0.0008
800		72.5	20		7.20   1.9		36	0.0070	0.0009
