 100.000    1.571    0.500     2.5593e+03     2.6500e+03     1.5000e+02     1.5000e+02     2.1761e+00
 103.000    1.571    0.530     2.3453e+03     2.3600e+03     1.4000e+02     1.4000e+02     2.1461e+00
 150.000    0.977    0.500     9.2060e+03     9.2000e+03     5.5000e+02     5.5000e+02     2.7404e+00
 150.000    1.468    1.000     9.7836e+02     9.8000e+02     5.9000e+01     5.9000e+01     1.7709e+00
 200.000    0.717    0.500     1.8731e+04     1.8450e+04     1.1000e+03     1.1000e+03     3.0414e+00
 200.000    1.047    1.000     2.4328e+03     2.3200e+03     1.4000e+02     1.4000e+02     2.1461e+00
 200.000    1.328    1.500     5.4503e+02     5.1800e+02     3.1000e+01     3.1000e+01     1.4914e+00
 250.000    0.820    1.000     4.3429e+03     4.2300e+03     2.5000e+02     2.5000e+02     2.3979e+00
 250.000    1.026    1.500     1.0707e+03     1.0320e+03     1.2000e+01     1.2000e+01     1.0792e+00
 250.000    1.213    2.000     3.2844e+02     3.1000e+02     1.9000e+01     1.9000e+01     1.2788e+00
 250.000    1.567    3.000     4.0744e+01     4.1000e+01     2.5000e+00     2.5000e+00     3.9794e-01
 300.000    0.841    1.500     1.7105e+03     1.6350e+03     9.8000e+01     9.8000e+01     1.9912e+00
 300.000    0.986    2.000     5.5521e+02     5.2700e+02     3.2000e+01     3.2000e+01     1.5051e+00
 300.000    1.501    4.000     1.3683e+01     1.3200e+01     8.0000e-01     8.0000e-01    -9.6910e-02
 350.000    1.045    3.000     1.2695e+02     1.2500e+02     8.0000e+00     8.0000e+00     9.0309e-01
 350.000    1.429    5.000     4.9024e+00     4.7300e+00     3.0000e-01     3.0000e-01    -5.2288e-01
 400.000    0.723    2.000     1.1416e+03     1.0770e+03     6.7000e+01     6.7000e+01     1.8261e+00
 400.000    1.063    4.000     3.5725e+01     3.5300e+01     2.2000e+00     2.2000e+00     3.4242e-01
 400.000    1.361    6.000     1.7595e+00     1.8100e+00     1.7000e-01     1.7000e-01    -7.6955e-01
 500.000    0.709    3.000     3.1744e+02     3.1700e+02     1.9000e+01     1.9000e+01     1.2788e+00
 500.000    0.941    5.000     1.5022e+01     1.4100e+01     9.0000e-01     9.0000e-01    -4.5757e-02
 500.000    1.045    6.000     3.5933e+00     3.1100e+00     3.2000e-01     3.2000e-01    -4.9485e-01
 500.000    1.150    7.000     7.7940e-01     6.9700e-01     9.6000e-02     9.6000e-02    -1.0177e+00
 500.000    1.244    8.000     1.6276e-01     1.5300e-01     1.8000e-02     1.8000e-02    -1.7447e+00
 601.000    0.682    4.000     1.0044e+02     9.7600e+01     6.2000e+00     6.2000e+00     7.9239e-01
 601.000    1.007    8.000     2.6674e-01     2.5800e-01     4.9000e-02     4.9000e-02    -1.3098e+00
 650.000    0.707    5.000     2.9559e+01     2.5100e+01     1.6000e+00     1.6000e+00     2.0412e-01
 650.000    0.852    7.000     1.7568e+00     1.4500e+00     1.2000e-01     1.2000e-01    -9.2082e-01
 650.000    0.920    8.000     3.5273e-01     1.9500e-01     6.4000e-02     6.4000e-02    -1.1938e+00
 700.000    0.723    6.000     8.6002e+00     7.7000e+00     8.0000e-01     8.0000e-01    -9.6910e-02
 700.000    0.846    8.000     4.4129e-01     4.5600e-01     7.7000e-02     7.7000e-02    -1.1135e+00
 800.000    0.681    7.000     2.9449e+00     2.0100e+00     1.9000e-01     1.9000e-01    -7.2125e-01
 800.000    0.737    8.100     5.3274e-01     4.8700e-01     5.9000e-02     5.9000e-02    -1.2291e+00
 800.000    0.757    8.500     2.4249e-01     1.9500e-01     3.7000e-02     3.7000e-02    -1.4318e+00
 800.000    0.782    9.000     7.7805e-02     5.7900e-02     2.5500e-02     2.5500e-02    -1.5935e+00
 800.000    0.806    9.500     1.4220e-02     3.3500e-02     1.2800e-02     1.2800e-02    -1.8928e+00
 800.000    0.831   10.000     2.0094e-06     9.2000e-03     7.9000e-03     7.9000e-03    -2.1024e+00
 800.000    0.853   10.500     6.1859e-03     4.6000e-03     5.9000e-03     5.9000e-03    -2.2291e+00
 800.000    0.876   11.000     1.8620e-02     1.4300e-02     4.9000e-03     4.9000e-03    -2.3098e+00
 800.000    0.923   12.000     4.1790e-02     3.7500e-02     1.6000e-02     1.6000e-02    -1.7959e+00
 800.000    0.990   13.500     5.0784e-02     3.9600e-02     6.6000e-03     6.6000e-03    -2.1805e+00
 800.000    1.054   15.000     4.1387e-02     2.6800e-02     6.6000e-03     6.6000e-03    -2.1805e+00
 800.000    1.096   16.000     3.2339e-02     2.7600e-02     4.3000e-03     4.3000e-03    -2.3665e+00
 800.000    1.183   18.000     1.6031e-02     1.3500e-02     2.7000e-03     2.7000e-03    -2.5686e+00
 800.000    1.265   20.000     7.0350e-03     7.2000e-03     1.9000e-03     1.9000e-03    -2.7212e+00
 800.000    0.022   20.000     2.1630e+09     7.2000e-06     1.9000e-06     1.9000e-06    -5.7212e+00
